SMILES,G01,G02,G03,G04,T01,T02,T03,B01,B02,H01,Cyclic,H_298K_per_C
C(C(CC)([Pt])[Pt])(CC)([Pt])[Pt],2,2,0,0,0,0,0,0,2,0,0,-7.596293253
C(C([Pt])[Pt])(CCCC)([Pt])[Pt],1,3,0,0,0,0,0,1,1,0,0,-6.027417107
C(CCCCC[Pt])([Pt])([Pt])[Pt],0,4,0,0,1,0,0,0,0,1,0,-8.279232382
C(C(C(CC)[Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,2,0,0,1,0,0,-7.494369315
C(C(C[Pt])[Pt])(CCC)([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-7.000123065
C(C(C([Pt])C)[Pt])(CC)([Pt])[Pt],2,1,0,0,0,2,0,0,1,0,0,-7.680840165
C(C(C(CC)[Pt])[Pt])(C[Pt])[Pt],1,1,0,0,1,3,0,0,0,0,0,-7.864763383
C(CC(CCC)[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,1,0,0,0,1,0,-5.853636165
C(C(C(CCC)[Pt])[Pt])([Pt])[Pt],1,2,0,0,0,2,0,1,0,0,0,-6.3417809
C(C([Pt])C)(CC([Pt])C)([Pt])[Pt],2,1,0,0,0,2,0,0,1,0,0,-7.858652973
C(C(C(C([Pt])C)[Pt])[Pt])([Pt])C,2,0,0,0,0,4,0,0,0,0,0,-8.288147287
C(C(CC)[Pt])(CC[Pt])([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-7.615120638
C(C[Pt])(CC(CC)[Pt])([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-7.071587538
C(CC(C(CC)[Pt])[Pt])([Pt])[Pt],1,2,0,0,0,2,0,1,0,0,0,-6.919931605
C(C([Pt])C)(C(CC)[Pt])([Pt])[Pt],2,1,0,0,0,2,0,0,1,0,0,-6.709339547
C(C(CCC)[Pt])(C[Pt])([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-6.15176202
C(CCC(CC[Pt])[Pt])([Pt])[Pt],0,3,0,0,1,1,0,1,0,0,0,-8.283193395
C(CC(C([Pt])C)[Pt])([Pt])([Pt])C,2,1,0,0,0,2,0,0,1,0,0,-7.522459468
C(CC[Pt])(CC(C[Pt])[Pt])[Pt],0,2,0,0,2,2,0,0,0,0,0,-7.994691608
C(CC)(CC(C[Pt])[Pt])([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-7.32088082
C(CCC(CC)[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,1,0,0,0,1,0,-5.726162945
C(C(CC([Pt])C)[Pt])([Pt])([Pt])C,2,1,0,0,0,2,0,0,1,0,0,-7.103190648
C(C(CC[Pt])[Pt])(CC[Pt])[Pt],0,2,0,0,2,2,0,0,0,0,0,-7.743694578
C(C(CC[Pt])[Pt])(CC)([Pt])[Pt],1,2,0,0,1,1,0,0,1,0,0,-6.615921015
C(C([Pt])[Pt])(CC(CC)[Pt])[Pt],1,2,0,0,0,2,0,1,0,0,0,-5.836897053
C(CC(CC)([Pt])[Pt])([Pt])([Pt])C,2,2,0,0,0,0,0,0,2,0,0,-5.755984865
C(C(C[Pt])[Pt])(CCC[Pt])[Pt],0,2,0,0,2,2,0,0,0,0,0,-5.938314163
C(CC(CCC[Pt])[Pt])([Pt])[Pt],0,3,0,0,1,1,0,1,0,0,0,-5.991217412
C(CCC[Pt])(CC[Pt])([Pt])[Pt],0,3,0,0,2,0,0,0,1,0,0,-5.534476197
C(CCCC(C[Pt])[Pt])([Pt])[Pt],0,3,0,0,1,1,0,1,0,0,0,-5.099503762
C(CC)(CCC([Pt])[Pt])([Pt])[Pt],1,3,0,0,0,0,0,1,1,0,0,-4.74235875
C(CCC([Pt])([Pt])C)([Pt])([Pt])C,2,2,0,0,0,0,0,0,2,0,0,-4.274271618
C(CCCC(C[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,1,0,0,0,1,0,-8.08973543
C(CCC(CC[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,1,0,0,0,1,0,-7.1403337
C(C(C(C([Pt])C)[Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,3,0,0,1,0,0,-7.336911265
C(C(C(C[Pt])[Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,1,2,0,0,1,0,0,-6.998536497
C(C(C(CCC)[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,2,0,0,0,1,0,-5.066286487
C(C(C[Pt])([Pt])[Pt])(CCC)([Pt])[Pt],1,2,0,0,1,0,0,0,2,0,0,-5.129044372
C(C(C([Pt])C)([Pt])[Pt])(CC)([Pt])[Pt],2,1,0,0,0,1,0,0,2,0,0,-5.908067723
C(C(CC)([Pt])[Pt])(CC[Pt])([Pt])[Pt],1,2,0,0,1,0,0,0,2,0,0,-6.148694025
C(C(C(CC)[Pt])([Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,1,0,0,2,0,0,-5.784051485
C(C(C(C(CC)[Pt])[Pt])[Pt])([Pt])[Pt],1,1,0,0,0,3,0,1,0,0,0,-6.385313405
C(C(CC([Pt])C)([Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,1,0,0,2,0,0,-6.549148152
C(C([Pt])[Pt])(C(CCC)[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-4.471167152
C(CC(C(CC)[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,2,0,0,0,1,0,-5.227163742
C(C[Pt])(CC(CC[Pt])[Pt])([Pt])[Pt],0,2,0,0,2,1,0,0,1,0,0,-6.583141283
C(C([Pt])[Pt])(CC(CC)[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-5.291830363
C(CCC(CC)([Pt])[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,0,0,0,1,1,0,-5.336767433
C(C(CC[Pt])[Pt])(CC[Pt])([Pt])[Pt],0,2,0,0,2,1,0,0,1,0,0,-6.25344863
C(C(C(C[Pt])[Pt])[Pt])(CC[Pt])[Pt],0,1,0,0,2,3,0,0,0,0,0,-6.597098642
C(C(CC([Pt])[Pt])[Pt])(CC)([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-5.21946309
C(CC(C([Pt])([Pt])C)[Pt])([Pt])([Pt])C,2,1,0,0,0,1,0,0,2,0,0,-5.714493928
C(CCCCC([Pt])[Pt])([Pt])([Pt])[Pt],0,4,0,0,0,0,0,1,0,1,0,-5.267559095
C(CC[Pt])(CC(C[Pt])[Pt])([Pt])[Pt],0,2,0,0,2,1,0,0,1,0,0,-5.817110122
C(C(C(CC)([Pt])[Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,1,0,0,2,0,0,-4.77781871
C(CC(C(CC[Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,2,0,1,0,0,0,-5.879306055
C(CC(C[Pt])[Pt])(CC([Pt])[Pt])[Pt],0,2,0,0,1,2,0,1,0,0,0,-5.974937585
C(CC(C([Pt])C)([Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,1,0,0,2,0,0,-5.183240487
C(C(CC(CC)[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,2,0,0,0,1,0,-4.924718807
C(C(CC)[Pt])(CC([Pt])[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-4.764925988
C(C(C([Pt])[Pt])[Pt])(CCC)([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-3.720479225
C(C[Pt])(CC(CC)([Pt])[Pt])([Pt])[Pt],1,2,0,0,1,0,0,0,2,0,0,-4.741906582
C(CC)(CC(C([Pt])[Pt])[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,1,0,0,-4.892540993
C(CC(CCC[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,1,0,0,0,1,0,-4.844360567
C(C(C(CCC[Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,2,0,1,0,0,0,-5.111061567
C(CCC(C(C[Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,2,0,1,0,0,0,-5.289557692
C(C(C[Pt])[Pt])(CCC[Pt])([Pt])[Pt],0,2,0,0,2,1,0,0,1,0,0,-5.251738367
C(C([Pt])([Pt])[Pt])(CCCC)([Pt])[Pt],1,3,0,0,0,0,0,0,1,1,0,-2.106318263
C(CC(CCC)([Pt])[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,0,0,0,1,1,0,-2.953808758
C(C(CCC[Pt])[Pt])(C[Pt])([Pt])[Pt],0,2,0,0,2,1,0,0,1,0,0,-4.720798687
C(CC[Pt])(CC(C([Pt])[Pt])[Pt])[Pt],0,2,0,0,1,2,0,1,0,0,0,-4.729764387
C(C(CCCC[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,1,0,0,0,1,0,-3.921173485
C(C[Pt])(CCCC([Pt])[Pt])([Pt])[Pt],0,3,0,0,1,0,0,1,1,0,0,-3.859848653
C(CCC[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,3,0,0,1,0,0,1,1,0,0,-3.832845712
C(CC(CCC([Pt])[Pt])[Pt])([Pt])[Pt],0,3,0,0,0,1,0,2,0,0,0,-3.634416693
C(CCC([Pt])[Pt])(CC[Pt])([Pt])[Pt],0,3,0,0,1,0,0,1,1,0,0,-3.241405445
C(CCCCC([Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,4,0,0,0,0,0,0,0,2,0,-6.675256322
C(CCCC(C[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,0,0,0,1,1,0,-5.473301502
C(CCC(CC([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,1,0,1,0,1,0,-5.236105077
C(CCC(C(C[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,2,0,0,0,1,0,-5.204395805
C(C(C(C([Pt])C)([Pt])[Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,2,0,0,2,0,0,-5.095597305
C(C(C(CC)([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],1,1,0,0,1,1,0,0,2,0,0,-4.717812635
C(C(C(C(CC)[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,1,0,0,0,3,0,0,0,1,0,-4.162494793
C(C(CC)[Pt])(C(C([Pt])[Pt])[Pt])([Pt])[Pt],1,1,0,0,0,2,0,1,1,0,0,-4.096859218
C(CC(C([Pt])([Pt])C)([Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,0,0,0,3,0,0,-4.301776628
C(CC(CCC([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,1,0,1,0,1,0,-5.994916312
C(C(C(C([Pt])([Pt])C)[Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,2,0,0,2,0,0,-4.614447935
C(CC(CC(C[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,2,0,0,0,1,0,-4.871115083
C(C(CC[Pt])([Pt])[Pt])(CC[Pt])([Pt])[Pt],0,2,0,0,2,0,0,0,2,0,0,-4.61158184
C(C(CC)([Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],1,2,0,0,0,0,0,1,2,0,0,-3.657338298
C(CC(C(C(C[Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,1,0,0,1,3,0,1,0,0,0,-5.105046565
C(C(C(C([Pt])[Pt])[Pt])[Pt])(CC[Pt])[Pt],0,1,0,0,1,3,0,1,0,0,0,-5.103627598
C(CC(C(CC)([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,1,1,0,-3.737180578
C(C(C(C([Pt])C)[Pt])([Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,2,0,0,2,0,0,-4.235089732
C(C(C(C[Pt])[Pt])([Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,1,1,0,0,2,0,0,-3.9097048
C(CC(C(CC[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,2,0,0,0,1,0,-4.299292952
C(CCC(CC[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,0,0,0,1,1,0,-4.125652717
C(C([Pt])[Pt])(CC(CC[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-4.676933625
C(C(C(CCC)([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,1,1,0,-2.565120713
C(C(C(CC)([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,2,1,0,0,0,0,0,0,3,0,0,-2.954593915
C(C(C(C([Pt])[Pt])[Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,0,2,0,1,1,0,0,-3.857053133
C(C[Pt])(CC(CC([Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-4.323751845
C(C(C([Pt])C)([Pt])[Pt])(C([Pt])C)([Pt])[Pt],2,0,0,0,0,2,0,0,2,0,0,-3.492502935
C(C([Pt])[Pt])(C(CCC[Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-3.759494948
C(CC(C(CC([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,0,2,0,2,0,0,0,-4.352942683
C(C([Pt])[Pt])(CC(CC)([Pt])[Pt])([Pt])[Pt],1,2,0,0,0,0,0,1,2,0,0,-3.354062457
C(C(C(CC)[Pt])([Pt])[Pt])(C[Pt])([Pt])[Pt],1,1,0,0,1,1,0,0,2,0,0,-2.875062127
C(C(CCC[Pt])([Pt])[Pt])(C[Pt])([Pt])[Pt],0,2,0,0,2,0,0,0,2,0,0,-3.707360375
C(C(CC(CC)([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,1,1,0,-3.375648613
C(CC(C(CC)[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,1,1,0,-2.737048822
C(C(C(CCC[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,2,0,0,0,1,0,-3.550155227
C(C(CC([Pt])[Pt])[Pt])(CC[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-3.813607627
C(C(C([Pt])[Pt])([Pt])[Pt])(CCC)([Pt])[Pt],1,2,0,0,0,0,0,1,2,0,0,-1.621099941
C(C([Pt])[Pt])(C(C(CC)[Pt])[Pt])([Pt])[Pt],1,1,0,0,0,2,0,1,1,0,0,-2.981249055
C(CC(C[Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-3.95714318
C(CCC(C(C([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,0,2,0,2,0,0,0,-3.765268745
C(C(CC(CC[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,2,0,0,0,1,0,-3.529829688
C(C(CCCC([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,1,0,1,0,1,0,-2.99982694
C(C([Pt])[Pt])(CCCC([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,2,1,0,0,-2.574327623
C(C(CC[Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-3.201614532
C(CC(CCC[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,1,0,0,0,1,1,0,-2.09660611
C(C(C(CCC)[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,1,1,0,-0.406820235
C(C(C[Pt])[Pt])(CCC([Pt])[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-2.596449528
C(C(C([Pt])[Pt])[Pt])(CCC[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-2.410292542
C(C(CCC([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,2,0,0,1,1,0,1,1,0,0,-2.324905735
C(CCC([Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,2,1,0,0,-1.998805272
C(C([Pt])([Pt])[Pt])(CCCC[Pt])([Pt])[Pt],0,3,0,0,1,0,0,0,1,1,0,-1.022333177
C(CC(C([Pt])[Pt])[Pt])(CC([Pt])[Pt])[Pt],0,2,0,0,0,2,0,2,0,0,0,-1.928936965
C(CC(CCC([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,1,0,0,0,2,0,-4.149677375
C(CCCC(C([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,1,0,0,0,2,0,-4.042268932
C(CC(C(C(C[Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,1,3,0,0,0,1,0,-4.23141879
C(CCC(C(C([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,1,0,1,0,-3.711589122
C(CCC(C(C[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-3.742271593
C(CC(CC(C[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-2.920210943
C(CC(C(C(C([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,1,0,0,0,3,0,2,0,0,0,-3.53157926
C(C(C(C(CC)[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,1,0,0,0,2,0,0,1,1,0,-1.751496132
C(CC(C(CC([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,1,0,1,0,-2.349663948
C(C(C(CCC([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,1,0,1,0,-2.548031687
C(CC(C(CC[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-2.405152137
C(C(CC[Pt])([Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,2,0,0,1,0,0,1,2,0,0,-2.071805815
C(C(C(C([Pt])C)([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,1,0,0,3,0,0,-1.525863802
C(CC(C(CC)([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,0,0,0,2,1,0,-1.18768709
C(C(C(C([Pt])([Pt])[Pt])[Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,0,2,0,0,1,1,0,-1.76743953
C(CCC([Pt])([Pt])[Pt])(CC([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,1,1,1,0,-1.816821725
C(C([Pt])[Pt])(CC(CC([Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,0,1,0,2,1,0,0,-2.288903292
C(C(C(CC)([Pt])[Pt])([Pt])[Pt])(C[Pt])([Pt])[Pt],1,1,0,0,1,0,0,0,3,0,0,-1.118568771
C(C([Pt])[Pt])(C(CCC([Pt])[Pt])[Pt])([Pt])[Pt],0,2,0,0,0,1,0,2,1,0,0,-3.250365188
C(C([Pt])([Pt])[Pt])(CCCC([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,1,1,1,0,-1.705736452
C(C(C(CC)[Pt])([Pt])[Pt])(C([Pt])[Pt])([Pt])[Pt],1,1,0,0,0,1,0,1,2,0,0,-0.356004465
C(C(C[Pt])([Pt])[Pt])(CCC([Pt])[Pt])([Pt])[Pt],0,2,0,0,1,0,0,1,2,0,0,-0.827443882
C(CCC(C(C[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-2.893298108
C(CC(C(CC[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-0.712496986
C(C(CC(CC([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,1,0,1,0,-0.60088397
C(C(C(C([Pt])([Pt])C)([Pt])[Pt])[Pt])([Pt])([Pt])C,2,0,0,0,0,1,0,0,3,0,0,0.611383702
C(CC(CCC([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,0,0,1,1,1,0,1.121055586
C(C(C(C([Pt])[Pt])[Pt])([Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,0,1,0,1,2,0,0,-0.167250809
C(CC(CC(C([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,1,0,1,0,0.335954083
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])(CC)([Pt])[Pt],1,1,0,0,0,1,0,1,2,0,0,1.434471927
C(C(C(CCC)([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,0,0,0,2,1,0,2.898129732
C(CC)(CC(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],1,2,0,0,0,0,0,0,2,1,0,1.839964192
C(CC(CC(C([Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,0,0,2,0,-1.889830512
C(CCC(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,1,0,1,1,1,0,-1.598641222
C(CCC(C(C[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,0,0,0,2,1,0,-1.424414992
C(CCCC(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,0,0,0,1,2,0,-0.706501209
C(CC(C(C(C([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,3,0,1,0,1,0,-1.601988742
C(CCC(C(C([Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,0,0,2,0,-0.264022339
C(CC(CCC([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,3,0,0,0,0,0,0,1,2,0,0.155954305
C(CCC(C(C([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,1,0,1,1,1,0,-0.093581592
C(CC(C(CC([Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,2,0,0,0,2,0,0.13963194
C(CC(C(CC[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,0,0,0,2,1,0,0.376718065
C(CC(CC(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,1,0,1,1,1,0,1.493528284
